Update: 316, Reward_mean: 0.479871978076, Loss: [0.086944468319416046]
Update: 317, Reward_mean: 0.603777626057, Loss: [0.13379262387752533]
Update: 318, Reward_mean: 0.870902844554, Loss: [0.013388706371188164]
Update: 319, Reward_mean: 0.917265683233, Loss: [0.064528822898864746]
Update: 320, Reward_mean: 0.882151964505, Loss: [0.012308781966567039]
Update: 321, Reward_mean: 0.838658796519, Loss: [0.056477785110473633]
Update: 322, Reward_mean: 0.714667285357, Loss: [0.060478046536445618]
Update: 323, Reward_mean: 0.57285963378, Loss: [0.00801063422113657]
Update: 324, Reward_mean: 0.7991252965, Loss: [0.020478716120123863]
Update: 325, Reward_mean: 0.700087357942, Loss: [0.0020649172365665436]
Update: 326, Reward_mean: 0.473680305913, Loss: [0.0885930135846138]
Update: 327, Reward_mean: 0.303763284359, Loss: [0.048896543681621552]
Update: 328, Reward_mean: 0.370487344832, Loss: [-0.053557530045509338]
Update: 329, Reward_mean: 0.682712607862, Loss: [0.014071219600737095]
Update: 330, Reward_mean: 0.934012918872, Loss: [0.096599765121936798]
Update: 331, Reward_mean: 0.812652005936, Loss: [0.057647004723548889]
Update: 332, Reward_mean: 0.787364755698, Loss: [0.042130090296268463]
Update: 333, Reward_mean: 0.836681346342, Loss: [0.12058892101049423]
Update: 334, Reward_mean: 1.01931449136, Loss: [0.024198787286877632]
Update: 335, Reward_mean: 0.78224516247, Loss: [0.010791037231683731]
Update: 336, Reward_mean: 1.03124959063, Loss: [0.15156011283397675]
Update: 337, Reward_mean: 0.734157575981, Loss: [0.0097040105611085892]
Update: 338, Reward_mean: 0.667709888373, Loss: [0.072916574776172638]
Update: 339, Reward_mean: 0.74480606533, Loss: [0.052814725786447525]
Update: 340, Reward_mean: 1.13101918511, Loss: [0.17905266582965851]
Update: 341, Reward_mean: 1.07013733841, Loss: [0.058413542807102203]
Update: 342, Reward_mean: 0.725838530249, Loss: [0.067434206604957581]
Update: 343, Reward_mean: 0.781541296091, Loss: [0.047325879335403442]
